,0,1,2,3,4,5,6,7,8,9
CNN-or,-0.0197,0.3214,0.232,-0.0378,-0.0292,0.012,0.0209,0.5628,-0.0264,0.2433
RNN-or,0.4934,0.4602,0.2262,0.295,0.1862,0.4005,0.4749,0.355,0.4365,0.3893
GRU-or,0.0766,0.4095,0.3617,0.2873,0.0587,0.1928,0.438,0.1854,0.1278,0.3208
DNN-or,-0.0091,0.4221,-0.1516,-0.0454,0.6892,-0.141,0.5823,0.4799,-0.3531,0.5516
LSTM-or,0.2717,0.4089,0.2319,0.1403,0.3226,0.1871,0.2371,0.2662,0.1881,0.2334
