,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,0.20841,0.00164,0.20739,0.20942,0.20571,0.2105
TestRMSE,0.86352,0.00469,0.86061,0.86643,0.8531,0.87059
Step1,0.34116,0.00304,0.33928,0.34304,0.3357,0.34537
Step2,0.49822,0.00275,0.49652,0.49992,0.49296,0.50259
Step3,0.61729,0.00316,0.61534,0.61925,0.60918,0.62134
