,fc2_rmse_mean,fc2_rmse_std,fc2_rmse_max,fc2_rmse_min,fc2_r2_mean,fc2_r2_std,fc2_r2_max,fc2_r2_min
CNN-obs,0.7268,0.103,0.8001,0.5811,0.0401,0.2535,0.3986,-0.1401
RNN-obs,0.5772,0.0129,0.5927,0.5612,0.4063,0.0264,0.4389,0.3743
GRU-obs,0.6293,0.0264,0.6608,0.5963,0.2934,0.0591,0.3668,0.2222
DNN-obs,0.6791,0.0866,0.7968,0.5911,0.1651,0.2159,0.3776,-0.131
LSTM-obs,0.6049,0.0183,0.6179,0.579,0.3478,0.039,0.4029,0.32
CNN-sg5,0.818,0.0009,0.8189,0.8168,-0.1919,0.0026,-0.1884,-0.1945
RNN-sg5,0.5632,0.0053,0.5683,0.5559,0.435,0.0106,0.4496,0.4248
GRU-sg5,0.6406,0.0427,0.6983,0.5964,0.2659,0.0988,0.3663,0.1316
DNN-sg5,0.6558,0.0706,0.7555,0.6026,0.2251,0.1711,0.3532,-0.0167
LSTM-sg5,0.6301,0.044,0.6922,0.595,0.2893,0.1013,0.3695,0.1465
CNN-sg7,0.7398,0.1095,0.843,0.5883,0.0037,0.2763,0.3835,-0.2658
RNN-sg7,0.566,0.0349,0.6138,0.5316,0.4273,0.0714,0.4967,0.329
GRU-sg7,0.6266,0.0221,0.6534,0.5992,0.2998,0.0494,0.3605,0.2396
DNN-sg7,0.5958,0.0047,0.6001,0.5893,0.3676,0.0099,0.3814,0.3585
LSTM-sg7,0.617,0.0167,0.6397,0.5998,0.3214,0.037,0.3592,0.2711
CNN-sg9,0.7658,0.122,0.8837,0.5978,-0.0712,0.3186,0.3635,-0.3911
RNN-sg9,0.5746,0.0148,0.5949,0.56,0.4115,0.0306,0.4414,0.3695
GRU-sg9,0.6012,0.0099,0.6127,0.5885,0.356,0.0212,0.3832,0.3314
DNN-sg9,0.643,0.0348,0.6899,0.6066,0.2613,0.0806,0.3446,0.1522
LSTM-sg9,0.6488,0.0151,0.6602,0.6275,0.2498,0.0346,0.2986,0.2237
CNN-ew2,0.8182,0.0016,0.8202,0.8163,-0.1925,0.0045,-0.187,-0.1981
RNN-ew2,0.5443,0.0093,0.5532,0.5315,0.4721,0.018,0.4969,0.4548
GRU-ew2,0.6299,0.0266,0.6674,0.6083,0.292,0.0605,0.3409,0.2067
DNN-ew2,0.6499,0.0694,0.7473,0.5907,0.239,0.1663,0.3786,0.0053
LSTM-ew2,0.6314,0.0116,0.6468,0.6189,0.2898,0.0262,0.3178,0.2548
CNN-ew3,0.7684,0.1063,0.8454,0.6181,-0.0718,0.2767,0.3194,-0.2729
RNN-ew3,0.5717,0.0138,0.5904,0.5573,0.4174,0.0283,0.4468,0.3792
GRU-ew3,0.595,0.0224,0.6243,0.5698,0.3685,0.0478,0.4217,0.3058
DNN-ew3,0.6214,0.0398,0.6777,0.591,0.3094,0.0901,0.3779,0.182
LSTM-ew3,0.6443,0.021,0.6691,0.6178,0.2599,0.048,0.3201,0.2027
CNN-ew4,0.7498,0.1095,0.8636,0.6019,-0.0227,0.2834,0.3546,-0.3284
RNN-ew4,0.5568,0.0145,0.5755,0.5401,0.4474,0.0289,0.4804,0.41
GRU-ew4,0.6498,0.0446,0.6992,0.5912,0.2444,0.1021,0.3775,0.1292
DNN-ew4,0.7694,0.0747,0.8405,0.6662,-0.0643,0.1991,0.2094,-0.2584
LSTM-ew4,0.6703,0.0022,0.6729,0.6675,0.1997,0.0053,0.2064,0.1935
CNN-or,0.6352,0.0512,0.7056,0.5855,0.2766,0.1183,0.3893,0.1132
RNN-or,0.5748,0.0309,0.6182,0.5487,0.4098,0.0644,0.4638,0.3192
GRU-or,0.6018,0.0347,0.6436,0.5586,0.3527,0.0743,0.4442,0.2622
DNN-or,0.6005,0.0068,0.6101,0.5948,0.3577,0.0147,0.3699,0.337
LSTM-or,0.5996,0.0036,0.6027,0.5946,0.3595,0.0077,0.3703,0.353
