,fc2_rmse_mean,fc2_rmse_std,fc2_rmse_max,fc2_rmse_min,fc2_r2_mean,fc2_r2_std,fc2_r2_max,fc2_r2_min
CNN-obs,0.8009,0.0407,0.8301,0.7433,-0.1452,0.1141,0.0162,-0.227
RNN-obs,0.7404,0.0251,0.7687,0.7077,0.0227,0.0658,0.108,-0.0521
GRU-obs,0.7545,0.0239,0.7849,0.7264,-0.0148,0.0645,0.0603,-0.0971
DNN-obs,0.7855,0.0312,0.8288,0.7567,-0.1006,0.0882,-0.0196,-0.2232
LSTM-obs,0.7587,0.0123,0.7683,0.7413,-0.0252,0.033,0.0214,-0.0511
CNN-sg5,0.8496,0.0009,0.8505,0.8483,-0.2853,0.0029,-0.2814,-0.2882
RNN-sg5,0.7188,0.0031,0.7222,0.7148,0.0799,0.0078,0.0901,0.0713
GRU-sg5,0.7619,0.0253,0.7973,0.7394,-0.035,0.0694,0.0264,-0.132
DNN-sg5,0.7836,0.0285,0.8238,0.7618,-0.0948,0.0805,-0.0334,-0.2085
LSTM-sg5,0.7907,0.0409,0.8483,0.7574,-0.1161,0.1172,-0.0215,-0.2813
CNN-sg7,0.8256,0.0477,0.8762,0.7616,-0.218,0.1388,-0.033,-0.3672
RNN-sg7,0.7334,0.0125,0.7496,0.7191,0.042,0.0327,0.0791,-0.0005
GRU-sg7,0.7751,0.0143,0.7926,0.7575,-0.0701,0.0396,-0.0217,-0.1186
DNN-sg7,0.7713,0.0037,0.7762,0.7671,-0.0595,0.0102,-0.0479,-0.0728
LSTM-sg7,0.7979,0.0208,0.8182,0.7693,-0.1346,0.0588,-0.0539,-0.1922
CNN-sg9,0.8647,0.0596,0.919,0.7817,-0.3379,0.1799,-0.088,-0.504
RNN-sg9,0.753,0.0168,0.7672,0.7295,-0.0103,0.0446,0.0524,-0.0482
GRU-sg9,0.7597,0.0069,0.7688,0.7521,-0.0279,0.0188,-0.0072,-0.0526
DNN-sg9,0.7815,0.0214,0.8016,0.7518,-0.0885,0.0592,-0.0065,-0.1443
LSTM-sg9,0.8279,0.0126,0.8454,0.8164,-0.2208,0.0372,-0.1867,-0.2725
CNN-ew2,0.8498,0.0017,0.8519,0.8478,-0.286,0.0051,-0.2798,-0.2922
RNN-ew2,0.7131,0.0089,0.7207,0.7006,0.0943,0.0226,0.1261,0.0751
GRU-ew2,0.751,0.0171,0.775,0.7369,-0.0049,0.0459,0.0329,-0.0694
DNN-ew2,0.7783,0.028,0.8175,0.7541,-0.0802,0.0783,-0.0128,-0.19
LSTM-ew2,0.7978,0.0213,0.8213,0.7698,-0.1342,0.0601,-0.0553,-0.201
CNN-ew3,0.8302,0.0658,0.8787,0.7372,-0.2352,0.1892,0.0323,-0.375
RNN-ew3,0.7362,0.0206,0.7593,0.7093,0.0343,0.0537,0.1041,-0.0265
GRU-ew3,0.7451,0.011,0.7568,0.7303,0.0113,0.0292,0.0504,-0.0199
DNN-ew3,0.7846,0.0258,0.821,0.7663,-0.0973,0.0727,-0.0458,-0.2002
LSTM-ew3,0.8239,0.0255,0.8472,0.7885,-0.21,0.074,-0.1071,-0.2781
CNN-ew4,0.8502,0.0581,0.8979,0.7684,-0.2932,0.1718,-0.0515,-0.4358
RNN-ew4,0.7328,0.0061,0.7414,0.7279,0.0436,0.0159,0.0564,0.0212
GRU-ew4,0.7822,0.0285,0.8145,0.7451,-0.0909,0.079,0.0113,-0.1812
DNN-ew4,0.8623,0.0587,0.9191,0.7814,-0.3301,0.177,-0.0872,-0.5041
LSTM-ew4,0.8407,0.0164,0.858,0.8186,-0.2591,0.0492,-0.1931,-0.311
CNN-or,0.7663,0.0267,0.803,0.7404,-0.0469,0.0735,0.0238,-0.1482
RNN-or,0.713,0.0222,0.7442,0.6942,0.0939,0.0571,0.1418,0.0137
GRU-or,0.743,0.0196,0.7641,0.7168,0.0164,0.0517,0.0851,-0.0396
DNN-or,0.7616,0.0032,0.7643,0.757,-0.0327,0.0088,-0.0204,-0.0401
LSTM-or,0.7533,0.0086,0.7642,0.7433,-0.0107,0.0229,0.0161,-0.0399
