,fc1_rmse_mean,fc1_rmse_std,fc1_rmse_max,fc1_rmse_min,fc1_r2_mean,fc1_r2_std,fc1_r2_max,fc1_r2_min,test_loss_mean,test_loss_std,test_loss_max,test_loss_min,train_loss_mean,train_loss_std,train_loss_max,train_loss_min
CNN-obs,0.6235,0.2022,0.7668,0.3376,0.2343,0.3978,0.7969,-0.0479,0.0964,0.0279,0.1161,0.0569,41.1168,18.6304,54.3632,14.7695
RNN-obs,0.3506,0.0025,0.3536,0.3475,0.7809,0.0031,0.7847,0.7771,0.0565,0.0011,0.0577,0.0552,14.8746,1.0513,16.3601,14.0781
GRU-obs,0.4255,0.0258,0.4482,0.3894,0.6761,0.0385,0.7298,0.6419,0.0664,0.0026,0.0683,0.0627,20.7586,1.7527,22.3699,18.3218
DNN-obs,0.5015,0.161,0.723,0.345,0.5056,0.3135,0.7879,0.0684,0.0755,0.023,0.1078,0.0561,27.6948,15.4435,49.3493,14.4046
LSTM-obs,0.3842,0.0238,0.4032,0.3506,0.7359,0.032,0.781,0.7102,0.0629,0.0031,0.0656,0.0586,17.3894,1.373,18.5934,15.4682
CNN-sg5,0.783,0.0008,0.7838,0.7819,-0.0928,0.0022,-0.0898,-0.0951,0.1189,0.0001,0.119,0.1187,55.4962,0.2565,55.8113,55.183
RNN-sg5,0.3501,0.0134,0.364,0.332,0.7812,0.0166,0.8036,0.7639,0.057,0.0019,0.0591,0.0545,13.5735,1.1667,14.7344,11.9776
GRU-sg5,0.4393,0.0602,0.5178,0.3715,0.6496,0.0961,0.754,0.5221,0.0683,0.0072,0.0772,0.0596,20.7412,4.97,27.0414,14.8926
DNN-sg5,0.4377,0.1031,0.5835,0.3645,0.6396,0.1743,0.7632,0.3932,0.0671,0.0142,0.087,0.0554,19.3078,8.1693,30.839,12.9256
LSTM-sg5,0.3999,0.0426,0.4586,0.359,0.7117,0.0625,0.7703,0.6252,0.064,0.0039,0.0692,0.0597,16.4002,1.9385,18.8794,14.1472
CNN-sg7,0.5997,0.1955,0.8061,0.3372,0.2909,0.3922,0.7973,-0.1582,0.093,0.0274,0.1233,0.057,34.46,18.3494,56.0908,11.2296
RNN-sg7,0.346,0.0513,0.4174,0.2991,0.782,0.0662,0.8405,0.6895,0.0567,0.0055,0.0643,0.0518,11.0062,3.6926,16.1967,7.9142
GRU-sg7,0.4061,0.0398,0.4601,0.3655,0.7033,0.0589,0.7619,0.6228,0.0644,0.0054,0.0719,0.0593,15.5929,3.7888,20.95,12.8228
DNN-sg7,0.3446,0.0072,0.3532,0.3356,0.7882,0.0088,0.7992,0.7777,0.0566,0.0009,0.0574,0.0554,11.1672,0.0835,11.2782,11.0767
LSTM-sg7,0.3818,0.0147,0.4025,0.3703,0.7398,0.0203,0.7557,0.7112,0.0631,0.0014,0.0651,0.0621,12.851,1.3019,14.5668,11.4147
