,fc2_rmse_mean,fc2_rmse_std,fc2_rmse_max,fc2_rmse_min,fc2_r2_mean,fc2_r2_std,fc2_r2_max,fc2_r2_min
CNN-sg5,0.6796,0.0986,0.8152,0.5838,0.16,0.2481,0.393,-0.1837
RNN-sg5,0.517,0.0143,0.5364,0.5023,0.5237,0.0265,0.5506,0.4876
GRU-sg5,0.5223,0.0196,0.5499,0.5068,0.5134,0.0369,0.5425,0.4614
DNN-sg5,0.596,0.0021,0.5975,0.593,0.3673,0.0045,0.3737,0.3641
LSTM-sg5,0.5188,0.0235,0.548,0.4904,0.5197,0.0436,0.5717,0.465
