,TrainRMSE,TestRMSE,Step1,Step2,Step3
Exp1,2.35489,2.42974,1.94928,1.08157,0.96651
Exp2,2.91996,2.69545,1.81911,1.83194,0.77476
Exp3,1.68448,1.54546,0.74627,1.0374,0.86909
Exp4,2.54814,2.28719,0.88332,1.3692,1.60508
Exp5,1.83636,1.74854,0.84665,1.20679,0.94034
Exp6,2.69672,2.49875,0.83161,1.43177,1.87142
Exp7,3.30993,2.82632,2.23711,1.47226,0.90324
Exp8,2.21075,2.14234,1.05434,1.03612,1.55063
Exp9,2.70933,2.5137,1.00439,0.8908,2.12517
Exp10,2.74388,2.40818,0.7651,0.78716,2.14344
