,TrainRMSE,TestRMSE,Step1,Step2,Step3
Exp1,0.25775,0.91502,0.34024,0.52729,0.66592
Exp2,0.2457,0.90627,0.33831,0.51826,0.66202
Exp3,0.25021,0.92315,0.34999,0.5317,0.66859
Exp4,0.25908,0.93534,0.3644,0.53971,0.67141
Exp5,0.2551,0.92597,0.35053,0.5307,0.67298
Exp6,0.2482,0.92105,0.35923,0.5295,0.66252
Exp7,0.24535,0.91067,0.35056,0.52218,0.6586
Exp8,0.26108,0.91008,0.34438,0.52078,0.66214
Exp9,0.24858,0.92515,0.35429,0.53302,0.66803
Exp10,0.26044,0.91242,0.35011,0.52433,0.65956
