,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,2.07301,0.20368,1.94677,2.19925,1.86541,2.55703
TestRMSE,1.7995,0.14879,1.70728,1.89173,1.60208,2.10542
Step1,1.0295,0.19514,0.90856,1.15045,0.79093,1.44914
Step2,1.10466,0.19118,0.98617,1.22316,0.88247,1.56201
Step3,0.94679,0.09569,0.88748,1.0061,0.81413,1.10868
