,0,1,2
CNN-ew4,-0.2001,-0.2157,0.7415
RNN-ew4,0.8604,0.8776,0.8825
GRU-ew4,0.8162,0.8549,0.8729
DNN-ew4,0.7779,0.7952,0.7958
LSTM-ew4,0.8602,0.8591,0.8404
