,0,1,2
CNN-ew4,0.8585,0.8641,0.6144
RNN-ew4,0.5206,0.5268,0.5137
GRU-ew4,0.5607,0.5501,0.5036
DNN-ew4,0.6027,0.5936,0.5926
LSTM-ew4,0.5641,0.5942,0.5938
