,fc1_rmse_mean,fc1_rmse_std,fc1_rmse_max,fc1_rmse_min,fc1_r2_mean,fc1_r2_std,fc1_r2_max,fc1_r2_min,test_loss_mean,test_loss_std,test_loss_max,test_loss_min,train_loss_mean,train_loss_std,train_loss_max,train_loss_min
RNN-ews,0.2811,0.0216,0.309,0.2431,0.8584,0.0211,0.8946,0.8298,0.0456,0.0018,0.048,0.0429,6.214,0.4396,6.6398,5.3931
DNN-sg7,0.3945,0.078,0.5487,0.338,0.7118,0.1251,0.7964,0.4634,0.0627,0.0095,0.0802,0.0525,9.7415,4.1532,17.9942,7.1611
RNN-attn-ew2,0.257,0.0141,0.2746,0.2399,0.8819,0.0128,0.8975,0.8656,0.0427,0.0019,0.0462,0.0409,5.1407,0.0612,5.2194,5.0613
