,fc3_rmse_mean,fc3_r2_mean,fc3_rmse_std,fc3_rmse_max,fc3_rmse_min,fc3_r2_std,fc3_r2_max,fc3_r2_min
LSTM-obs,12.4165,0.5149,0.4379,12.9575,11.885,0.0342,0.5561,0.4724
Transformer-obs,17.7444,0.0104,0.2512,17.9507,17.3908,0.0279,0.0497,-0.0125
LSTM-sg5,11.8467,0.5564,0.9154,13.1159,10.9912,0.0697,0.6204,0.4594
Transformer-sg5,17.5849,0.0282,0.1782,17.8184,17.3859,0.0197,0.0502,0.0023
LSTM-sg7,11.1774,0.6056,0.7635,11.8865,10.1177,0.0525,0.6783,0.556
Transformer-sg7,17.8781,-0.0075,0.994,19.2836,17.1503,0.1139,0.0757,-0.1685
LSTM-sg9,11.6129,0.5761,0.1807,11.8107,11.3738,0.0131,0.5935,0.5617
Transformer-sg9,18.8157,-0.1139,0.681,19.4322,17.8666,0.0796,-0.0031,-0.1866
LSTM-ew2,11.7467,0.5659,0.3918,12.2516,11.2967,0.029,0.599,0.5283
Transformer-ew2,17.689,0.0159,0.5399,18.2711,16.9701,0.0597,0.0951,-0.049
LSTM-ew3,11.6964,0.5701,0.1061,11.8305,11.571,0.0078,0.5793,0.5602
Transformer-ew3,17.4002,0.0485,0.2134,17.6511,17.1296,0.0233,0.078,0.021
LSTM-ew4,11.602,0.5768,0.2891,11.9073,11.2139,0.0209,0.6048,0.5545
Transformer-ew4,17.5471,0.0321,0.3679,18.0178,17.1199,0.0406,0.079,-0.0201
