,fc2_rmse_mean,fc2_r2_mean,fc2_rmse_std,fc2_rmse_max,fc2_rmse_min,fc2_r2_std,fc2_r2_max,fc2_r2_min
LSTM-obs,9.2254,0.7354,0.2336,9.4496,8.9032,0.0133,0.7537,0.7226
Transformer-obs,15.5377,0.2495,0.3346,15.9767,15.1652,0.0324,0.2854,0.2069
LSTM-sg5,8.6496,0.7661,0.6814,9.6073,8.0779,0.0376,0.7973,0.7132
Transformer-sg5,15.2673,0.2756,0.218,15.5457,15.0135,0.0207,0.2996,0.2491
LSTM-sg7,8.1501,0.793,0.4571,8.6568,7.5492,0.0229,0.8229,0.7672
Transformer-sg7,15.2924,0.2707,0.9349,16.5366,14.2828,0.0899,0.3662,0.1503
LSTM-sg9,8.394,0.7809,0.2139,8.5884,8.0961,0.0111,0.7963,0.7708
Transformer-sg9,16.0635,0.1977,0.4306,16.583,15.5286,0.043,0.2508,0.1456
LSTM-ew2,8.6488,0.7674,0.2633,8.9914,8.3511,0.0142,0.7833,0.7488
Transformer-ew2,15.2182,0.2799,0.4131,15.5747,14.6391,0.0387,0.3341,0.2463
LSTM-ew3,8.5188,0.7745,0.0788,8.63,8.4578,0.0042,0.7777,0.7686
Transformer-ew3,14.7953,0.3194,0.399,15.2699,14.2936,0.0366,0.3652,0.2755
LSTM-ew4,8.3877,0.7812,0.2427,8.6808,8.0864,0.0126,0.7968,0.7659
Transformer-ew4,14.973,0.3029,0.4099,15.4013,14.4206,0.0379,0.3539,0.263
