,Colour(t-23),Colour(t-22),Colour(t-21),Colour(t-20),Colour(t-19),Colour(t-18),Colour(t-17),Colour(t-16),Colour(t-15),Colour(t-14),Colour(t-13),Colour(t-12),Colour(t-11),Colour(t-10),Colour(t-9),Colour(t-8),Colour(t-7),Colour(t-6),Colour(t-5),Colour(t-4),Colour(t-3),Colour(t-2),Colour(t-1),Colour(t),Colour(t+1),Colour(t+2),Colour(t+3)
391,101.0972935897146,104.05837615382876,109.63502569229726,114.98101541537837,119.188609249227,122.31316554953622,124.98789932972171,126.59273959783305,127.15564375869982,127.69338625521988,128.01603175313193,128.40961905187916,129.4457714311275,130.0674628586765,130.0404777152059,129.42428662912354,128.05457197747413,125.03274318648448,121.2196459118907,116.53178754713444,110.71907252828066,108.6314435169684,106.77886611018104,106.66731966610864,107.60039179966518,109.5602350797991,113.33614104787948
392,104.05837615382876,109.63502569229726,114.98101541537837,119.188609249227,122.31316554953622,124.98789932972171,126.59273959783305,127.15564375869982,127.69338625521988,128.01603175313193,128.40961905187916,129.4457714311275,130.0674628586765,130.0404777152059,129.42428662912354,128.05457197747413,125.03274318648448,121.2196459118907,116.53178754713444,110.71907252828066,108.6314435169684,106.77886611018104,106.66731966610864,107.60039179966518,109.5602350797991,113.33614104787948,118.40168462872768
393,109.63502569229726,114.98101541537837,119.188609249227,122.31316554953622,124.98789932972171,126.59273959783305,127.15564375869982,127.69338625521988,128.01603175313193,128.40961905187916,129.4457714311275,130.0674628586765,130.0404777152059,129.42428662912354,128.05457197747413,125.03274318648448,121.2196459118907,116.53178754713444,110.71907252828066,108.6314435169684,106.77886611018104,106.66731966610864,107.60039179966518,109.5602350797991,113.33614104787948,118.40168462872768,123.4410107772366
394,114.98101541537837,119.188609249227,122.31316554953622,124.98789932972171,126.59273959783305,127.15564375869982,127.69338625521988,128.01603175313193,128.40961905187916,129.4457714311275,130.0674628586765,130.0404777152059,129.42428662912354,128.05457197747413,125.03274318648448,121.2196459118907,116.53178754713444,110.71907252828066,108.6314435169684,106.77886611018104,106.66731966610864,107.60039179966518,109.5602350797991,113.33614104787948,118.40168462872768,123.4410107772366,128.26460646634197
395,119.188609249227,122.31316554953622,124.98789932972171,126.59273959783305,127.15564375869982,127.69338625521988,128.01603175313193,128.40961905187916,129.4457714311275,130.0674628586765,130.0404777152059,129.42428662912354,128.05457197747413,125.03274318648448,121.2196459118907,116.53178754713444,110.71907252828066,108.6314435169684,106.77886611018104,106.66731966610864,107.60039179966518,109.5602350797991,113.33614104787948,118.40168462872768,123.4410107772366,128.26460646634197,132.75876387980517
396,122.31316554953622,124.98789932972171,126.59273959783305,127.15564375869982,127.69338625521988,128.01603175313193,128.40961905187916,129.4457714311275,130.0674628586765,130.0404777152059,129.42428662912354,128.05457197747413,125.03274318648448,121.2196459118907,116.53178754713444,110.71907252828066,108.6314435169684,106.77886611018104,106.66731966610864,107.60039179966518,109.5602350797991,113.33614104787948,118.40168462872768,123.4410107772366,128.26460646634197,132.75876387980517,136.2552583278831
397,124.98789932972171,126.59273959783305,127.15564375869982,127.69338625521988,128.01603175313193,128.40961905187916,129.4457714311275,130.0674628586765,130.0404777152059,129.42428662912354,128.05457197747413,125.03274318648448,121.2196459118907,116.53178754713444,110.71907252828066,108.6314435169684,106.77886611018104,106.66731966610864,107.60039179966518,109.5602350797991,113.33614104787948,118.40168462872768,123.4410107772366,128.26460646634197,132.75876387980517,136.2552583278831,138.35315499672987
398,126.59273959783305,127.15564375869982,127.69338625521988,128.01603175313193,128.40961905187916,129.4457714311275,130.0674628586765,130.0404777152059,129.42428662912354,128.05457197747413,125.03274318648448,121.2196459118907,116.53178754713444,110.71907252828066,108.6314435169684,106.77886611018104,106.66731966610864,107.60039179966518,109.5602350797991,113.33614104787948,118.40168462872768,123.4410107772366,128.26460646634197,132.75876387980517,136.2552583278831,138.35315499672987,139.81189299803793
399,127.15564375869982,127.69338625521988,128.01603175313193,128.40961905187916,129.4457714311275,130.0674628586765,130.0404777152059,129.42428662912354,128.05457197747413,125.03274318648448,121.2196459118907,116.53178754713444,110.71907252828066,108.6314435169684,106.77886611018104,106.66731966610864,107.60039179966518,109.5602350797991,113.33614104787948,118.40168462872768,123.4410107772366,128.26460646634197,132.75876387980517,136.2552583278831,138.35315499672987,139.81189299803793,141.08713579882277
400,127.69338625521988,128.01603175313193,128.40961905187916,129.4457714311275,130.0674628586765,130.0404777152059,129.42428662912354,128.05457197747413,125.03274318648448,121.2196459118907,116.53178754713444,110.71907252828066,108.6314435169684,106.77886611018104,106.66731966610864,107.60039179966518,109.5602350797991,113.33614104787948,118.40168462872768,123.4410107772366,128.26460646634197,132.75876387980517,136.2552583278831,138.35315499672987,139.81189299803793,141.08713579882277,142.25228147929366
401,128.01603175313193,128.40961905187916,129.4457714311275,130.0674628586765,130.0404777152059,129.42428662912354,128.05457197747413,125.03274318648448,121.2196459118907,116.53178754713444,110.71907252828066,108.6314435169684,106.77886611018104,106.66731966610864,107.60039179966518,109.5602350797991,113.33614104787948,118.40168462872768,123.4410107772366,128.26460646634197,132.75876387980517,136.2552583278831,138.35315499672987,139.81189299803793,141.08713579882277,142.25228147929366,143.15136888757618
402,128.40961905187916,129.4457714311275,130.0674628586765,130.0404777152059,129.42428662912354,128.05457197747413,125.03274318648448,121.2196459118907,116.53178754713444,110.71907252828066,108.6314435169684,106.77886611018104,106.66731966610864,107.60039179966518,109.5602350797991,113.33614104787948,118.40168462872768,123.4410107772366,128.26460646634197,132.75876387980517,136.2552583278831,138.35315499672987,139.81189299803793,141.08713579882277,142.25228147929366,143.15136888757618,143.49082133254572
403,129.4457714311275,130.0674628586765,130.0404777152059,129.42428662912354,128.05457197747413,125.03274318648448,121.2196459118907,116.53178754713444,110.71907252828066,108.6314435169684,106.77886611018104,106.66731966610864,107.60039179966518,109.5602350797991,113.33614104787948,118.40168462872768,123.4410107772366,128.26460646634197,132.75876387980517,136.2552583278831,138.35315499672987,139.81189299803793,141.08713579882277,142.25228147929366,143.15136888757618,143.49082133254572,142.49449279952745
