,TrainRMSE,TestRMSE,Step1,Step2,Step3
Exp1,0.25007,0.91175,0.34582,0.52338,0.66164
Exp2,0.2462,0.92424,0.34749,0.53025,0.67253
Exp3,0.25136,0.9095,0.34641,0.51948,0.66132
Exp4,0.2533,0.90687,0.33789,0.52038,0.6614
Exp5,0.24853,0.90555,0.33605,0.5188,0.66177
Exp6,0.24918,0.92299,0.35359,0.53047,0.66745
Exp7,0.25094,0.91604,0.34369,0.52364,0.66843
Exp8,0.24678,0.93176,0.35798,0.53491,0.67372
Exp9,0.25418,0.90747,0.34765,0.52167,0.65613
Exp10,0.25242,0.91221,0.3472,0.52128,0.66322
