,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,2.36348,0.35779,2.14172,2.58524,1.7354,2.93208
TestRMSE,2.63747,0.39428,2.39309,2.88185,1.98076,3.32454
Step1,1.62693,0.38663,1.38729,1.86656,0.97109,2.02928
Step2,1.13381,0.29515,0.95088,1.31674,0.80078,1.79905
Step3,1.63056,0.53291,1.30026,1.96086,0.9581,2.80467
