,TrainRMSE,TestRMSE,Step1,Step2,Step3
Exp1,2.39161,2.63924,1.58758,0.80078,1.95035
Exp2,2.66282,2.97558,1.92791,1.28374,1.86796
Exp3,2.70985,2.95859,2.02928,1.34111,1.68425
Exp4,2.26229,2.40916,2.01571,0.90719,0.9581
Exp5,2.38168,2.66614,0.97109,1.79905,1.71135
Exp6,2.20048,2.42768,1.99171,0.8698,1.08175
Exp7,1.82788,2.11107,1.61565,0.95002,0.97147
Exp8,2.93208,3.32454,1.2086,1.31365,2.80467
Exp9,1.7354,1.98076,1.07605,0.88465,1.40817
Exp10,2.53067,2.88197,1.84568,1.18812,1.86751
