,0,1,2,3,4
MLP_1,0.1794,-1.2743,0.5283,0.2606,0.2404
MLP_7,0.2257,0.1397,0.2445,0.4017,0.1129
LSTM_1,0.2622,0.268,0.2481,0.2374,0.3477
LSTM_7,0.5315,0.4619,0.5235,0.4539,0.4591
Transformer,0.5637,0.7575,0.1381,0.7342,0.6969
