,0,1,2,3,4
MLP_1,79.86837957143645,232.83271464958128,61.77337563576199,72.75371952068744,82.99347894375863
MLP_7,92.24710260877777,69.05145812056927,82.59736925729821,73.48373461521894,81.30528471611682
LSTM_1,74.34305658504302,77.76802175863816,72.38869342183665,80.589859611755,70.28528663272733
LSTM_7,67.86165847096925,70.07242144929101,68.6743441677069,68.61454047881251,68.3059253827212
Transformer,33.483308519580234,29.79230414200718,35.58030030831777,30.50649077383855,32.175254779653436
