,0,1,2,3,4
MLP_1,1.1873,1.9766,0.9002,1.127,1.1423
MLP_7,1.1534,1.2157,1.1393,1.0138,1.2345
LSTM_1,1.1258,1.1214,1.1366,1.1446,1.0586
LSTM_7,0.8972,0.9614,0.9048,0.9686,0.964
Transformer,0.8658,0.6455,1.2168,0.6757,0.7216
