,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,0.25238,0.004,0.2499,0.25486,0.24509,0.2581
TestRMSE,0.91385,0.00788,0.90897,0.91874,0.90072,0.93237
Step1,0.3474,0.00723,0.34292,0.35188,0.33935,0.36209
Step2,0.52287,0.00492,0.51982,0.52592,0.51514,0.534
Step3,0.66407,0.00562,0.66059,0.66755,0.65362,0.67308
