NH3_N,Datetime,sin_hour,cos_hour,sin_day,cos_day,sin_month,cos_month
0.34856431666666665,2021-10-11 00:00:00,0.0,1.0,0.7431448254773945,-0.6691306063588579,-0.8660254037844386,0.5
0.38495596666666665,2021-10-11 01:00:00,0.25881904510252074,0.9659258262890683,0.7431448254773945,-0.6691306063588579,-0.8660254037844386,0.5
0.35235531666666675,2021-10-11 02:00:00,0.49999999999999994,0.8660254037844387,0.7431448254773945,-0.6691306063588579,-0.8660254037844386,0.5
0.3378016833333333,2021-10-11 03:00:00,0.7071067811865475,0.7071067811865476,0.7431448254773945,-0.6691306063588579,-0.8660254037844386,0.5
0.3392674833333333,2021-10-11 04:00:00,0.8660254037844386,0.5000000000000001,0.7431448254773945,-0.6691306063588579,-0.8660254037844386,0.5
0.3455150000000001,2021-10-11 05:00:00,0.9659258262890683,0.25881904510252074,0.7431448254773945,-0.6691306063588579,-0.8660254037844386,0.5
0.3438809999999997,2021-10-11 06:00:00,1.0,6.123233995736766e-17,0.7431448254773945,-0.6691306063588579,-0.8660254037844386,0.5
0.34883241666666664,2021-10-11 07:00:00,0.9659258262890683,-0.25881904510252063,0.7431448254773945,-0.6691306063588579,-0.8660254037844386,0.5
0.36201663333333334,2021-10-11 08:00:00,0.8660254037844388,-0.4999999999999998,0.7431448254773945,-0.6691306063588579,-0.8660254037844386,0.5
0.4304774166666666,2021-10-11 09:00:00,0.7071067811865476,-0.7071067811865475,0.7431448254773945,-0.6691306063588579,-0.8660254037844386,0.5
1.4531130666666667,2021-10-11 10:00:00,0.49999999999999994,-0.8660254037844387,0.7431448254773945,-0.6691306063588579,-0.8660254037844386,0.5
2.3022516666666673,2021-10-11 11:00:00,0.258819045102521,-0.9659258262890682,0.7431448254773945,-0.6691306063588579,-0.8660254037844386,0.5
2.4837974999999997,2021-10-11 12:00:00,1.2246467991473532e-16,-1.0,0.7431448254773945,-0.6691306063588579,-0.8660254037844386,0.5
2.1254520000000006,2021-10-11 13:00:00,-0.2588190451025208,-0.9659258262890683,0.7431448254773945,-0.6691306063588579,-0.8660254037844386,0.5
1.4861064999999996,2021-10-11 14:00:00,-0.4999999999999998,-0.8660254037844388,0.7431448254773945,-0.6691306063588579,-0.8660254037844386,0.5
0.7992960999999997,2021-10-11 15:00:00,-0.7071067811865471,-0.7071067811865479,0.7431448254773945,-0.6691306063588579,-0.8660254037844386,0.5
0.4749800166666666,2021-10-11 16:00:00,-0.8660254037844384,-0.5000000000000004,0.7431448254773945,-0.6691306063588579,-0.8660254037844386,0.5
0.4141935,2021-10-11 17:00:00,-0.9659258262890683,-0.25881904510252063,0.7431448254773945,-0.6691306063588579,-0.8660254037844386,0.5
0.40893244999999995,2021-10-11 18:00:00,-1.0,-1.8369701987210297e-16,0.7431448254773945,-0.6691306063588579,-0.8660254037844386,0.5
0.40531065000000005,2021-10-11 19:00:00,-0.9659258262890684,0.2588190451025203,0.7431448254773945,-0.6691306063588579,-0.8660254037844386,0.5
0.41523085000000004,2021-10-11 20:00:00,-0.8660254037844386,0.5,0.7431448254773945,-0.6691306063588579,-0.8660254037844386,0.5
0.46831388333333324,2021-10-11 21:00:00,-0.7071067811865477,0.7071067811865475,0.7431448254773945,-0.6691306063588579,-0.8660254037844386,0.5
0.5133426833333334,2021-10-11 22:00:00,-0.5000000000000004,0.8660254037844384,0.7431448254773945,-0.6691306063588579,-0.8660254037844386,0.5
0.4896322333333334,2021-10-11 23:00:00,-0.2588190451025215,0.9659258262890681,0.7431448254773945,-0.6691306063588579,-0.8660254037844386,0.5
0.49550676666666665,2021-10-12 00:00:00,0.0,1.0,0.5877852522924732,-0.8090169943749473,-0.8660254037844386,0.5
0.4349716166666668,2021-10-12 01:00:00,0.25881904510252074,0.9659258262890683,0.5877852522924732,-0.8090169943749473,-0.8660254037844386,0.5
0.3891455833333335,2021-10-12 02:00:00,0.49999999999999994,0.8660254037844387,0.5877852522924732,-0.8090169943749473,-0.8660254037844386,0.5
0.38074711666666694,2021-10-12 03:00:00,0.7071067811865475,0.7071067811865476,0.5877852522924732,-0.8090169943749473,-0.8660254037844386,0.5
0.37820555,2021-10-12 04:00:00,0.8660254037844386,0.5000000000000001,0.5877852522924732,-0.8090169943749473,-0.8660254037844386,0.5
0.37373950000000017,2021-10-12 05:00:00,0.9659258262890683,0.25881904510252074,0.5877852522924732,-0.8090169943749473,-0.8660254037844386,0.5
0.3725251666666666,2021-10-12 06:00:00,1.0,6.123233995736766e-17,0.5877852522924732,-0.8090169943749473,-0.8660254037844386,0.5
0.3716459,2021-10-12 07:00:00,0.9659258262890683,-0.25881904510252063,0.5877852522924732,-0.8090169943749473,-0.8660254037844386,0.5
0.37840225000000005,2021-10-12 08:00:00,0.8660254037844388,-0.4999999999999998,0.5877852522924732,-0.8090169943749473,-0.8660254037844386,0.5
0.4760360333333333,2021-10-12 09:00:00,0.7071067811865476,-0.7071067811865475,0.5877852522924732,-0.8090169943749473,-0.8660254037844386,0.5
1.553722583333333,2021-10-12 10:00:00,0.49999999999999994,-0.8660254037844387,0.5877852522924732,-0.8090169943749473,-0.8660254037844386,0.5
2.4674363333333336,2021-10-12 11:00:00,0.258819045102521,-0.9659258262890682,0.5877852522924732,-0.8090169943749473,-0.8660254037844386,0.5
2.696580166666666,2021-10-12 12:00:00,1.2246467991473532e-16,-1.0,0.5877852522924732,-0.8090169943749473,-0.8660254037844386,0.5
2.343970166666666,2021-10-12 13:00:00,-0.2588190451025208,-0.9659258262890683,0.5877852522924732,-0.8090169943749473,-0.8660254037844386,0.5
