,TrainRMSE,TestRMSE,Step1,Step2,Step3
Exp1,2.49111,2.1591,1.325,1.16907,1.24072
Exp2,2.87865,2.34327,0.70275,1.12166,1.93363
Exp3,2.78766,2.4406,0.96036,1.44479,1.71663
Exp4,1.71381,1.74956,1.19152,0.988,0.81554
Exp5,2.66458,2.24242,1.77753,1.03751,0.89018
Exp6,2.25477,1.96042,1.36313,1.1048,0.87437
Exp7,2.065,1.84687,1.06926,1.17449,0.94242
Exp8,2.57895,2.45501,1.05803,1.59707,1.53526
Exp9,2.51991,2.19013,0.96963,0.94305,1.72254
Exp10,2.09509,1.80226,1.45509,0.77661,0.72646
