,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,2.40495,0.34655,2.19016,2.61975,1.71381,2.87865
TestRMSE,2.11897,0.24991,1.96407,2.27386,1.74956,2.45501
Step1,1.18723,0.28884,1.00821,1.36626,0.70275,1.77753
Step2,1.1357,0.22576,0.99578,1.27563,0.77661,1.59707
Step3,1.23978,0.42624,0.97559,1.50396,0.72646,1.93363
