,0,1,2
CNN-obs,0.7657,0.7966,-0.047
RNN-obs,0.8841,0.883,0.8788
GRU-obs,0.8873,0.8856,0.882
DNN-obs,0.7936,0.7733,0.7896
LSTM-obs,0.8825,0.8833,0.8821
