,0,1,2
CNN-obs,0.3625,0.3378,0.7664
RNN-obs,0.255,0.2562,0.2607
GRU-obs,0.2515,0.2534,0.2573
DNN-obs,0.3403,0.3567,0.3436
LSTM-obs,0.2567,0.2559,0.2572
