,fc3_rmse_mean,fc3_r2_mean,fc3_rmse_std,fc3_rmse_max,fc3_rmse_min,fc3_r2_std,fc3_r2_max,fc3_r2_min
CNN-obs,0.7796,-0.0847,0.0367,0.8297,0.7427,0.103,0.0177,-0.2257
RNN-obs,0.7786,-0.0818,0.035,0.8281,0.7514,0.0987,-0.0053,-0.2212
GRU-obs,0.7921,-0.1183,0.0237,0.8221,0.7642,0.067,-0.04,-0.2036
DNN-obs,0.755,-0.015,0.0048,0.7617,0.7515,0.0128,-0.0057,-0.0331
LSTM-obs,0.9127,-0.4839,0.0197,0.9291,0.885,0.0635,-0.3947,-0.5371
