,0,1,2
CNN-obs,0.599,0.581,0.7997
RNN-obs,0.5244,0.5257,0.5531
GRU-obs,0.5194,0.5343,0.5263
DNN-obs,0.5866,0.6003,0.5881
LSTM-obs,0.5502,0.5475,0.5535
