,fc1_rmse_mean,fc1_r2_mean,test_loss_mean,train_loss_mean,valid_loss_mean,last_epoch,fc1_rmse_std,fc1_rmse_max,fc1_rmse_min,fc1_r2_std,fc1_r2_max,fc1_r2_min,test_loss_std,test_loss_max,test_loss_min,train_loss_std,train_loss_max,train_loss_min,valid_loss_std,valid_loss_max,valid_loss_min
CNN-obs,0.4889,0.5051,0.0766,20.6228,6.8704,9.765625e-08,0.1965,0.7664,0.3378,0.3906,0.7966,-0.047,0.028,0.1161,0.0567,13.7044,40.0031,10.7975,5.1522,14.1567,3.1983
RNN-obs,0.2573,0.882,0.0443,7.3197,1.6735,1.5625e-06,0.0025,0.2607,0.255,0.0023,0.8841,0.8788,0.0001,0.0444,0.0442,0.1118,7.4388,7.1701,0.0476,1.7098,1.6064
GRU-obs,0.2541,0.885,0.0405,5.8987,1.3237,1.25e-05,0.0024,0.2573,0.2515,0.0022,0.8873,0.882,0.0002,0.0409,0.0403,0.1964,6.174,5.729,0.03,1.3524,1.2823
DNN-obs,0.3469,0.7855,0.056,11.0291,3.25,1.953125e-07,0.0071,0.3567,0.3403,0.0088,0.7936,0.7733,0.0006,0.0569,0.0554,0.2166,11.3152,10.7913,0.0151,3.2648,3.2293
LSTM-obs,0.2566,0.8826,0.0409,5.4642,1.2081,3.125e-06,0.0005,0.2572,0.2559,0.0005,0.8833,0.8821,0.0003,0.0414,0.0406,0.2613,5.7399,5.1132,0.017,1.2293,1.1875
