,fc2_rmse_mean,fc2_r2_mean,fc2_rmse_std,fc2_rmse_max,fc2_rmse_min,fc2_r2_std,fc2_r2_max,fc2_r2_min
CNN-obs,0.6599,0.2069,0.0991,0.7997,0.581,0.2451,0.3987,-0.139
RNN-obs,0.5344,0.491,0.0132,0.5531,0.5244,0.0254,0.5102,0.4551
GRU-obs,0.5267,0.5058,0.0061,0.5343,0.5194,0.0114,0.5194,0.4915
DNN-obs,0.5917,0.3764,0.0061,0.6003,0.5866,0.0129,0.3871,0.3582
LSTM-obs,0.5504,0.4604,0.0025,0.5535,0.5475,0.0047,0.466,0.4544
