,0,1,2,3,4,5,6,7,8,9
CNN-obs,0.0149,-0.0687,-0.0971,-0.1451,0.3398,-0.1685,0.0484,-0.0701,-0.0913,-0.1181
RNN-obs,-0.0627,-0.0014,0.2684,-0.037,0.2058,0.2028,0.234,-0.0153,0.2412,0.2173
GRU-obs,0.0063,-0.0628,0.1035,0.0019,-0.0427,0.0365,0.0539,-0.0541,0.0415,-0.0836
DNN-obs,0.2885,-0.0246,-0.084,-0.1554,0.0093,-0.2293,-0.2222,-0.079,-0.0349,0.0012
LSTM-obs,-0.0655,0.0923,0.0358,0.048,-0.0067,0.0127,0.0393,-0.0997,0.1176,0.0299
