,0,1,2
CNN-obs,0.7665,0.7427,0.8297
RNN-obs,0.7514,0.7564,0.8281
GRU-obs,0.7642,0.8221,0.7899
DNN-obs,0.7517,0.7617,0.7515
LSTM-obs,0.9239,0.885,0.9291
