,0,1,2
CNN-obs,3.90625e-07,7.8125e-07,9.765625e-08
RNN-obs,7.8125e-07,3.90625e-07,1.5625e-06
GRU-obs,1.5625e-06,3.125e-06,1.25e-05
DNN-obs,9.765625e-08,1.953125e-07,1.953125e-07
LSTM-obs,1.5625e-06,7.8125e-07,3.125e-06
