,0,1,2
CNN-obs,-0.0462,0.0177,-0.2257
RNN-obs,-0.0053,-0.0189,-0.2212
GRU-obs,-0.04,-0.2036,-0.1112
DNN-obs,-0.0062,-0.0331,-0.0057
LSTM-obs,-0.52,-0.3947,-0.5371
