,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainMSE,2.41909,1.25389,1.64193,3.19626,0.64482,4.98211
TestMSE,3.29601,1.67082,2.26043,4.3316,0.86353,6.49287
Step1,3.5776,1.74935,2.49334,4.66186,0.92674,5.73617
Step2,3.92635,4.02791,1.42982,6.42287,0.78807,13.66801
Step3,2.38409,1.43471,1.49485,3.27334,0.78477,6.04161
