,TrainMSE,TestMSE,Step1,Step2,Step3
Exp1,-1.48064,-1.95687,-0.41502,-0.6174,-0.92444
Exp2,-3.40451,-3.88437,-1.27965,-1.12604,-1.47868
Exp3,-3.29159,-4.23814,-1.9154,-1.33807,-0.98467
Exp4,-2.45977,-2.95651,-0.50541,-0.89176,-1.55934
Exp5,-1.86869,-2.21636,-0.98284,0.05334,-1.28686
Exp6,-2.31911,-2.90451,-1.76343,-1.99795,0.85687
Exp7,-2.55699,-3.04243,-1.23281,0.44582,-2.25544
Exp8,-1.98788,-2.59708,0.2919,-0.55146,-2.33753
Exp9,-3.62613,-4.23893,-0.5175,-3.68626,-0.03518
Exp10,0.73129,0.40525,0.09736,-0.87602,1.1839
