,TrainRMSE,TestRMSE,Step1,Step2,Step3
Exp1,1.21769,1.31133,0.65413,0.69383,0.90018
Exp2,1.1094,1.28142,0.70915,0.70368,0.80248
Exp3,0.94715,1.15145,0.49814,0.67556,0.78824
Exp4,1.31331,1.28802,0.69649,0.74058,0.79084
Exp5,1.0686,1.22167,0.66461,0.70496,0.74418
