,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
MLP_1,0.6388,0.8413,0.9568,0.921,0.8778,0.7662,0.637,0.8389,0.5311,0.7236,0.5516,0.6025,1.1761,0.9176,0.5474,0.774,0.7064,0.9842,1.1548,0.5669,0.8435,0.7302,1.2952,0.7212,0.7048,1.03,0.5707,1.0361,0.5182,1.2662,0.9122,1.4081,1.087,0.7395,0.5895,0.9705,0.7973,0.6883,1.2532,1.1631
MLP_7,0.7923,1.0911,0.9621,0.9049,0.9299,0.8119,1.0924,1.1001,1.6412,0.8679,1.3432,0.9155,0.9903,0.9391,0.893,0.8472,0.7262,0.8047,0.7913,0.8143,0.787,0.8689,0.9017,1.0891,0.8724,0.9276,1.1583,0.8227,0.7487,0.9901,0.7781,0.957,0.7805,1.3712,0.852,1.1318,1.0451,1.0493,0.8699,1.0612
LSTM_1,0.9939,0.8632,0.8347,0.9895,0.9379,0.8948,0.8988,0.8385,0.9038,0.9336,0.8401,0.8443,0.8698,0.8503,0.8269,0.9399,0.874,0.9714,0.8824,0.9374,0.8529,0.7697,1.041,0.886,0.8457,0.7669,0.9149,0.9384,0.8693,0.9274,0.9623,0.9378,0.8757,0.8652,0.917,0.9208,0.9295,0.7232,0.8766,0.8732
LSTM_7,0.8181,0.7388,0.845,0.812,0.8231,0.7592,0.7634,0.7576,0.8461,0.8157,0.8432,0.7755,0.717,0.8255,0.8135,0.8533,0.7504,0.7982,0.7279,0.8395,0.8909,0.8145,0.8735,0.8051,0.8386,0.7547,0.8225,0.7737,0.7923,0.8111,0.7996,0.8923,0.8378,0.8592,0.7778,0.8062,0.6921,0.7651,0.8281,0.8971
Transformer,0.5785,0.6369,0.7054,0.6077,0.694,0.6156,0.5707,0.6148,0.706,0.6242,0.8859,0.5976,0.5666,1.5689,0.5068,0.4468,0.6894,0.7839,0.5061,0.5992,0.7681,0.6377,0.64,0.55,0.6151,0.5259,0.8291,0.6219,0.5098,0.6778,0.6942,0.6561,0.8282,0.5974,0.7583,0.5902,0.6361,0.617,0.7839,0.8251
