,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,0.2503,0.00252,0.24873,0.25186,0.2462,0.25418
TestRMSE,0.91484,0.00832,0.90968,0.91999,0.90555,0.93176
Step1,0.34638,0.00614,0.34257,0.35018,0.33605,0.35798
Step2,0.52443,0.00522,0.52119,0.52766,0.5188,0.53491
Step3,0.66476,0.00529,0.66148,0.66804,0.65613,0.67372
