Datetime,EWMA-2
2021-12-23 00:00:00,0.1956597666666666
2021-12-23 01:00:00,0.1960706333333333
2021-12-23 02:00:00,0.20525165555555552
2021-12-23 03:00:00,0.2104283851851852
2021-12-23 04:00:00,0.21331382839506172
2021-12-23 05:00:00,0.21200583168724274
2021-12-23 06:00:00,0.21159454389574756
2021-12-23 07:00:00,0.21034523685413803
2021-12-23 08:00:00,0.35740532339582376
2021-12-23 09:00:00,1.1326392744652747
2021-12-23 10:00:00,1.0665908803773139
2021-12-23 11:00:00,0.681806526792438
2021-12-23 12:00:00,0.419475442264146
2021-12-23 13:00:00,0.30627769186582643
2021-12-23 14:00:00,0.2605048083997199
2021-12-23 15:00:00,0.24715455835546216
2021-12-23 16:00:00,0.274792952785154
2021-12-23 17:00:00,0.2938203398172735
2021-12-23 18:00:00,0.30832762438353556
2021-12-23 19:00:00,0.3029744525722896
2021-12-23 20:00:00,0.27975486196854094
2021-12-23 21:00:00,0.24971272065618033
2021-12-23 22:00:00,0.23168046244094898
2021-12-23 23:00:00,0.22219816525809405
2021-12-24 00:00:00,0.2181306439749202
2021-12-24 01:00:00,0.2150011035471956
2021-12-24 02:00:00,0.21605519007128737
2021-12-24 03:00:00,0.25372909669042915
2021-12-24 04:00:00,0.27596679889680964
2021-12-24 05:00:00,0.24777778852115873
2021-12-24 06:00:00,0.23552575172927512
2021-12-24 07:00:00,0.2313363394653139
2021-12-24 08:00:00,0.22925930204399347
2021-12-24 09:00:00,0.23057028957022002
2021-12-24 10:00:00,0.23460088541229557
2021-12-24 11:00:00,0.2376557506929874
2021-12-24 12:00:00,0.246803772453218
2021-12-24 13:00:00,0.2884889352621838
2021-12-24 14:00:00,0.313052789531839
2021-12-24 15:00:00,0.2723453631772797
2021-12-24 16:00:00,0.2492363321702043
2021-12-24 17:00:00,0.23668487739006802
2021-12-24 18:00:00,0.22904031468557823
2021-12-24 19:00:00,0.2240113826729705
2021-12-24 20:00:00,0.22110104977987904
2021-12-24 21:00:00,0.2192881054821819
2021-12-24 22:00:00,0.21914084627183839
2021-12-24 23:00:00,0.21740777097950165
2021-12-25 00:00:00,0.21677920143761162
2021-12-25 01:00:00,0.21645246714587052
2021-12-25 02:00:00,0.21642861127084573
2021-12-25 03:00:00,0.2171237593125041
2021-12-25 04:00:00,0.21917884199305693
2021-12-25 05:00:00,0.22027478066435233
2021-12-25 06:00:00,0.2216542602214508
2021-12-25 07:00:00,0.22297922007381693
2021-12-25 08:00:00,0.2242964289134945
2021-12-25 09:00:00,0.2267233540822759
2021-12-25 10:00:00,0.22860035136075862
2021-12-25 11:00:00,0.22869050600914176
2021-12-25 12:00:00,0.23024676866971394
2021-12-25 13:00:00,0.23479880066768238
2021-12-25 14:00:00,0.24306487800033852
2021-12-25 15:00:00,0.252477148222335
2021-12-25 16:00:00,0.24187114940744503
2021-12-25 17:00:00,0.22650279424692615
2021-12-25 18:00:00,0.21816177586008645
2021-12-25 19:00:00,0.2135219363978066
2021-12-25 20:00:00,0.21125144546593552
2021-12-25 21:00:00,0.2097491818219785
2021-12-25 22:00:00,0.20910899394065952
2021-12-25 23:00:00,0.22856948686910872
2021-12-26 00:00:00,0.25976146228970287
2021-12-26 01:00:00,0.3797991985410121
2021-12-26 02:00:00,0.7859373550692264
2021-12-26 03:00:00,0.7064213739119642
2021-12-26 04:00:00,0.4449495913039881
2021-12-26 05:00:00,0.31962214154577384
2021-12-26 06:00:00,0.26211002495970237
2021-12-26 07:00:00,0.23525686387545633
2021-12-26 08:00:00,0.22647874351404096
2021-12-26 09:00:00,0.2233021033935692
2021-12-26 10:00:00,0.2220032011311897
2021-12-26 11:00:00,0.24717485593261876
2021-12-26 12:00:00,0.3227180630886507
2021-12-26 13:00:00,0.33565994325177245
2021-12-26 14:00:00,0.32596890330614636
2021-12-26 15:00:00,0.2996253344353821
2021-12-26 16:00:00,0.28769974481179406
2021-12-26 17:00:00,0.3557123149372647
2021-12-26 18:00:00,0.6067376272013105
2021-12-26 19:00:00,0.8136047646226591
2021-12-26 20:00:00,0.903807977096442
2021-12-26 21:00:00,0.7432723812543696
2021-12-26 22:00:00,0.48478519375145646
2021-12-26 23:00:00,0.32070620902826324
2021-12-27 00:00:00,0.2421621807871988
2021-12-27 01:00:00,0.2060099935957329
2021-12-27 02:00:00,0.18983766453191092
2021-12-27 03:00:00,0.25937556595508143
2021-12-27 04:00:00,0.5355505997628048
2021-12-27 05:00:00,0.6157489332542683
2021-12-27 06:00:00,0.4214007110847561
2021-12-27 07:00:00,0.28951588147269647
2021-12-27 08:00:00,0.23114117160200987
2021-12-27 09:00:00,0.20463355720066995
2021-12-27 10:00:00,0.19300887462244554
2021-12-27 11:00:00,0.2319026026519263
2021-12-27 12:00:00,0.45895670088397544
2021-12-27 13:00:00,0.7633443336279918
2021-12-27 14:00:00,0.8975259889871084
2021-12-27 15:00:00,0.7966482074401473
2021-12-27 16:00:00,0.6065844469244936
2021-12-27 17:00:00,0.5491314489748312
2021-12-27 18:00:00,0.6637674941027216
2021-12-27 19:00:00,0.7973351869231293
2021-12-27 20:00:00,0.8146333623077098
2021-12-27 21:00:00,0.6510340874359033
2021-12-27 22:00:00,0.45779124025641227
2021-12-27 23:00:00,0.30018454675213746
2021-12-28 00:00:00,0.225619537806268
2021-12-28 01:00:00,0.1914409681576449
2021-12-28 02:00:00,0.17779221160810382
2021-12-28 03:00:00,0.17229655942492347
2021-12-28 04:00:00,0.1702084642527522
2021-12-28 05:00:00,0.16901716586202847
2021-12-28 06:00:00,0.1675738663984539
