,TrainRMSE,TestRMSE,Step1,Step2,Step3
Exp1,1.07625,1.2558,0.61806,0.77715,0.76882
Exp2,1.14208,1.31134,0.59709,0.71844,0.9203
Exp3,1.11626,1.31542,0.75714,0.69681,0.81946
Exp4,1.02813,1.09557,0.45695,0.6538,0.75101
Exp5,0.92767,1.09663,0.55204,0.6321,0.70591
