,fc2_rmse_mean,fc2_rmse_std,fc2_rmse_max,fc2_rmse_min,fc2_r2_mean,fc2_r2_std,fc2_r2_max,fc2_r2_min
CNN-obs,26.5489,0.0,26.5489,26.5489,-1.19,0.0,-1.19,-1.19
RNN-obs,22.889,0.0,22.889,22.889,-0.6278,0.0,-0.6278,-0.6278
GRU-obs,15.188,0.0,15.188,15.188,0.2833,0.0,0.2833,0.2833
DNN-obs,35.3539,0.0,35.3539,35.3539,-2.8835,0.0,-2.8835,-2.8835
LSTM-obs,26.5594,0.0,26.5594,26.5594,-1.1917,0.0,-1.1917,-1.1917
CNN-sg5,18.4472,0.0,18.4472,18.4472,-0.0573,0.0,-0.0573,-0.0573
RNN-sg5,17.691,0.0,17.691,17.691,0.0276,0.0,0.0276,0.0276
GRU-sg5,39.145,0.0,39.145,39.145,-3.7611,0.0,-3.7611,-3.7611
DNN-sg5,16.0666,0.0,16.0666,16.0666,0.1979,0.0,0.1979,0.1979
LSTM-sg5,24.8045,0.0,24.8045,24.8045,-0.9117,0.0,-0.9117,-0.9117
CNN-sg7,36.4026,0.0,36.4026,36.4026,-3.1173,0.0,-3.1173,-3.1173
RNN-sg7,17.6267,0.0,17.6267,17.6267,0.0346,0.0,0.0346,0.0346
GRU-sg7,28.7857,0.0,28.7857,28.7857,-1.5746,0.0,-1.5746,-1.5746
DNN-sg7,28.2289,0.0,28.2289,28.2289,-1.4759,0.0,-1.4759,-1.4759
LSTM-sg7,29.4459,0.0,29.4459,29.4459,-1.694,0.0,-1.694,-1.694
CNN-sg9,26.1983,0.0,26.1983,26.1983,-1.1326,0.0,-1.1326,-1.1326
RNN-sg9,18.7852,0.0,18.7852,18.7852,-0.0964,0.0,-0.0964,-0.0964
GRU-sg9,35.8121,0.0,35.8121,35.8121,-2.9849,0.0,-2.9849,-2.9849
DNN-sg9,20.3436,0.0,20.3436,20.3436,-0.2859,0.0,-0.2859,-0.2859
LSTM-sg9,23.9399,0.0,23.9399,23.9399,-0.7807,0.0,-0.7807,-0.7807
CNN-ew2,20.5106,0.0,20.5106,20.5106,-0.3071,0.0,-0.3071,-0.3071
RNN-ew2,31.8385,0.0,31.8385,31.8385,-2.1496,0.0,-2.1496,-2.1496
GRU-ew2,22.4202,0.0,22.4202,22.4202,-0.5618,0.0,-0.5618,-0.5618
DNN-ew2,35.7104,0.0,35.7104,35.7104,-2.9623,0.0,-2.9623,-2.9623
LSTM-ew2,20.1058,0.0,20.1058,20.1058,-0.256,0.0,-0.256,-0.256
CNN-ew3,17.566,0.0,17.566,17.566,0.0413,0.0,0.0413,0.0413
RNN-ew3,23.6016,0.0,23.6016,23.6016,-0.7308,0.0,-0.7308,-0.7308
GRU-ew3,23.6374,0.0,23.6374,23.6374,-0.736,0.0,-0.736,-0.736
DNN-ew3,18.4678,0.0,18.4678,18.4678,-0.0597,0.0,-0.0597,-0.0597
LSTM-ew3,29.9484,0.0,29.9484,29.9484,-1.7868,0.0,-1.7868,-1.7868
CNN-ew4,35.9244,0.0,35.9244,35.9244,-3.0099,0.0,-3.0099,-3.0099
RNN-ew4,17.3468,0.0,17.3468,17.3468,0.065,0.0,0.065,0.065
GRU-ew4,29.034,0.0,29.034,29.034,-1.6192,0.0,-1.6192,-1.6192
DNN-ew4,24.3225,0.0,24.3225,24.3225,-0.8381,0.0,-0.8381,-0.8381
LSTM-ew4,18.2347,0.0,18.2347,18.2347,-0.0331,0.0,-0.0331,-0.0331
