,fc2_rmse_mean,fc2_rmse_std,fc2_rmse_max,fc2_rmse_min,fc2_r2_mean,fc2_r2_std,fc2_r2_max,fc2_r2_min
CNN-obs,26.8382,0.0,26.8382,26.8382,-1.2634,0.0,-1.2634,-1.2634
RNN-obs,23.4007,0.0,23.4007,23.4007,-0.7207,0.0,-0.7207,-0.7207
GRU-obs,16.3396,0.0,16.3396,16.3396,0.1611,0.0,0.1611,0.1611
DNN-obs,37.0685,0.0,37.0685,37.0685,-3.3177,0.0,-3.3177,-3.3177
LSTM-obs,26.9467,0.0,26.9467,26.9467,-1.2817,0.0,-1.2817,-1.2817
CNN-sg5,19.0257,0.0,19.0257,19.0257,-0.1374,0.0,-0.1374,-0.1374
RNN-sg5,18.2375,0.0,18.2375,18.2375,-0.0451,0.0,-0.0451,-0.0451
GRU-sg5,39.3407,0.0,39.3407,39.3407,-3.8633,0.0,-3.8633,-3.8633
DNN-sg5,18.8184,0.0,18.8184,18.8184,-0.1128,0.0,-0.1128,-0.1128
LSTM-sg5,25.2477,0.0,25.2477,25.2477,-1.003,0.0,-1.003,-1.003
CNN-sg7,36.9039,0.0,36.9039,36.9039,-3.2795,0.0,-3.2795,-3.2795
RNN-sg7,18.2132,0.0,18.2132,18.2132,-0.0424,0.0,-0.0424,-0.0424
GRU-sg7,29.2431,0.0,29.2431,29.2431,-1.6872,0.0,-1.6872,-1.6872
DNN-sg7,28.5015,0.0,28.5015,28.5015,-1.5526,0.0,-1.5526,-1.5526
LSTM-sg7,29.7093,0.0,29.7093,29.7093,-1.7735,0.0,-1.7735,-1.7735
CNN-sg9,26.5219,0.0,26.5219,26.5219,-1.2103,0.0,-1.2103,-1.2103
RNN-sg9,19.3076,0.0,19.3076,19.3076,-0.1714,0.0,-0.1714,-0.1714
GRU-sg9,35.9583,0.0,35.9583,35.9583,-3.063,0.0,-3.063,-3.063
DNN-sg9,31.5259,0.0,31.5259,31.5259,-2.123,0.0,-2.123,-2.123
LSTM-sg9,24.2904,0.0,24.2904,24.2904,-0.854,0.0,-0.854,-0.854
CNN-ew2,21.7501,0.0,21.7501,21.7501,-0.4865,0.0,-0.4865,-0.4865
RNN-ew2,33.1834,0.0,33.1834,33.1834,-2.4601,0.0,-2.4601,-2.4601
GRU-ew2,22.7416,0.0,22.7416,22.7416,-0.6251,0.0,-0.6251,-0.6251
DNN-ew2,36.1169,0.0,36.1169,36.1169,-3.0989,0.0,-3.0989,-3.0989
LSTM-ew2,20.5569,0.0,20.5569,20.5569,-0.3279,0.0,-0.3279,-0.3279
CNN-ew3,18.1299,0.0,18.1299,18.1299,-0.0328,0.0,-0.0328,-0.0328
RNN-ew3,24.0427,0.0,24.0427,24.0427,-0.8164,0.0,-0.8164,-0.8164
GRU-ew3,23.976,0.0,23.976,23.976,-0.8063,0.0,-0.8063,-0.8063
DNN-ew3,19.0494,0.0,19.0494,19.0494,-0.1403,0.0,-0.1403,-0.1403
LSTM-ew3,30.2366,0.0,30.2366,30.2366,-1.8728,0.0,-1.8728,-1.8728
CNN-ew4,36.1013,0.0,36.1013,36.1013,-3.0953,0.0,-3.0953,-3.0953
RNN-ew4,18.2457,0.0,18.2457,18.2457,-0.0461,0.0,-0.0461,-0.0461
GRU-ew4,29.3332,0.0,29.3332,29.3332,-1.7037,0.0,-1.7037,-1.7037
DNN-ew4,25.4953,0.0,25.4953,25.4953,-1.0425,0.0,-1.0425,-1.0425
LSTM-ew4,18.8308,0.0,18.8308,18.8308,-0.1142,0.0,-0.1142,-0.1142
