,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,2.08272,0.33581,1.87458,2.29085,1.71876,2.69
TestRMSE,1.90433,0.37117,1.67428,2.13439,1.39804,2.49918
Step1,1.00846,0.22654,0.86805,1.14887,0.77273,1.53482
Step2,0.95888,0.17739,0.84893,1.06883,0.71533,1.38238
Step3,1.26507,0.38028,1.02936,1.50077,0.75241,1.71581
