,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainMSE,2.06571,0.01781,2.05467,2.07675,2.03399,2.09341
TestMSE,78.87528,1.12101,78.18047,79.57009,77.12715,80.6629
Step1,78.87528,1.12101,78.18047,79.57009,77.12715,80.6629
Step2,99.45184,1.13681,98.74723,100.15644,97.07176,101.46619
Step3,143.92866,1.18139,143.19642,144.6609,142.26235,146.21716
