,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,0.25175,0.00397,0.24827,0.25524,0.24687,0.25818
TestRMSE,0.91877,0.00258,0.9165,0.92103,0.91513,0.92265
Step1,0.34659,0.00394,0.34314,0.35004,0.34164,0.35346
Step2,0.52651,0.00188,0.52486,0.52815,0.52308,0.52842
Step3,0.66841,0.00321,0.66559,0.67123,0.66482,0.67384
