,0,1,2,3,4,5,6,7,8,9
CNN-ew4,0.8653,0.8429,0.8652,0.8675,0.8898,0.8648,0.8617,0.7585,0.8796,0.667
RNN-ew4,0.6649,0.7105,0.6861,0.8481,0.6852,0.7584,0.6617,0.6752,0.7545,0.7291
GRU-ew4,0.7708,0.8048,0.8029,0.7434,0.7628,0.7776,0.8302,0.7014,0.8256,0.7635
DNN-ew4,0.8192,0.7964,0.6235,0.827,0.8637,0.804,0.8129,0.757,0.9137,0.7829
LSTM-ew4,0.8357,0.8257,0.7751,0.8055,0.7917,0.7376,0.8091,0.8115,0.8028,0.8337
