,fc1_rmse_mean,fc1_r2_mean,test_loss_mean,train_loss_mean,valid_loss_mean,last_epoch,fc1_rmse_std,fc1_rmse_max,fc1_rmse_min,fc1_r2_std,fc1_r2_max,fc1_r2_min,test_loss_std,test_loss_max,test_loss_min,train_loss_std,train_loss_max,train_loss_min,valid_loss_std,valid_loss_max,valid_loss_min
0,0.2542,0.8848,0.0414,4.8795,1.0287,1.25e-05,0.0,0.2542,0.2542,0.0,0.8848,0.8848,0.0,0.0414,0.0414,0.0,4.8795,4.8795,0.0,1.0287,1.0287
0,0.262,0.8776,0.0384,2.2376,1.0258,3.125e-06,0.0,0.262,0.262,0.0,0.8776,0.8776,0.0,0.0384,0.0384,0.0,2.2376,2.2376,0.0,1.0258,1.0258
0,0.2025,0.9269,0.0367,1.4477,1.0226,1.25e-05,0.0,0.2025,0.2025,0.0,0.9269,0.9269,0.0,0.0367,0.0367,0.0,1.4477,1.4477,0.0,1.0226,1.0226
0,0.2299,0.9058,0.0382,1.2414,1.1118,1.25e-05,0.0,0.2299,0.2299,0.0,0.9058,0.9058,0.0,0.0382,0.0382,0.0,1.2414,1.2414,0.0,1.1118,1.1118
0,0.2342,0.9022,0.0394,2.8969,0.9879,6.25e-06,0.0,0.2342,0.2342,0.0,0.9022,0.9022,0.0,0.0394,0.0394,0.0,2.8969,2.8969,0.0,0.9879,0.9879
0,0.2465,0.8917,0.0404,2.2719,1.008,2.5e-05,0.0,0.2465,0.2465,0.0,0.8917,0.8917,0.0,0.0404,0.0404,0.0,2.2719,2.2719,0.0,1.008,1.008
0,0.2536,0.8854,0.041,1.8643,1.0658,2.5e-05,0.0,0.2536,0.2536,0.0,0.8854,0.8854,0.0,0.041,0.041,0.0,1.8643,1.8643,0.0,1.0658,1.0658
