,TrainMSE,TestMSE,Step1,Step2,Step3
Exp1,-1.30228,-1.77622,0.08219,-1.04413,-0.81429
Exp2,-2.70561,-3.49181,-2.26164,1.44524,-2.67541
Exp3,-2.41652,-2.89047,0.22262,-2.08951,-1.02358
Exp4,-0.7343,-1.2128,-0.39189,-0.62257,-0.19833
Exp5,-4.08247,-4.95464,-1.45708,-1.28652,-2.21104
Exp6,0.07109,-0.28339,-0.31514,0.25924,-0.22749
Exp7,-1.31869,-1.76272,-0.37811,-1.63554,0.25093
Exp8,-7.84457,-9.6354,-2.3726,-2.91852,-4.34429
Exp9,-1.93605,-2.41787,0.26881,-0.55693,-2.12975
Exp10,-4.56931,-5.78658,-0.5275,-3.49334,-1.76574
