,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,0.16816,0.00231,0.16673,0.1696,0.16484,0.17269
TestRMSE,0.92976,0.00327,0.92774,0.93179,0.92325,0.93578
Step1,0.36255,0.00236,0.36109,0.36401,0.35924,0.36708
Step2,0.53882,0.00219,0.53746,0.54018,0.53472,0.54281
Step3,0.66535,0.002,0.66411,0.66659,0.66137,0.66806
