,fc2_rmse_mean,fc2_rmse_std,fc2_rmse_max,fc2_rmse_min,fc2_r2_mean,fc2_r2_std,fc2_r2_max,fc2_r2_min
LSTM-3-obs,8.2335,0.0,8.2335,8.2335,0.7894,0.0,0.7894,0.7894
LSTM-3-sg5,7.6682,0.0,7.6682,7.6682,0.8173,0.0,0.8173,0.8173
LSTM-3-sg7,7.2292,0.0,7.2292,7.2292,0.8376,0.0,0.8376,0.8376
LSTM-3-sg9,6.9768,0.0,6.9768,6.9768,0.8488,0.0,0.8488,0.8488
LSTM-3-ew2,7.9262,0.0,7.9262,7.9262,0.8048,0.0,0.8048,0.8048
LSTM-3-ew3,7.829,0.0,7.829,7.829,0.8096,0.0,0.8096,0.8096
LSTM-3-ew4,7.736,0.0,7.736,7.736,0.8141,0.0,0.8141,0.8141
