,0,1,2,3,4,5,6,7,8,9
CNN-ew3,0.7931,0.7992,0.8017,0.8233,0.7979,0.7778,0.8003,0.6214,0.7982,0.8011
RNN-ew3,0.7,0.7038,0.7225,0.6821,0.7326,0.702,0.7088,0.6311,0.6646,0.6543
GRU-ew3,0.7023,0.7448,0.713,0.7403,0.7091,0.79,0.7796,0.7715,0.7982,0.8367
DNN-ew3,0.715,0.7385,0.7759,0.8065,0.8028,0.6484,0.7387,0.6005,0.7174,0.754
LSTM-ew3,0.756,0.7398,0.7709,0.7571,0.7571,0.7377,0.7576,0.7469,0.7296,0.7547
