,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,1.96482,0.30665,1.77476,2.15489,1.52988,2.71956
TestRMSE,1.76298,0.19024,1.64507,1.88089,1.54384,2.20061
Step1,0.94953,0.14774,0.85796,1.0411,0.79388,1.29537
Step2,1.06544,0.19657,0.9436,1.18728,0.7605,1.44742
Step3,1.00279,0.20359,0.87661,1.12898,0.733,1.35985
