,TrainMSE,TestMSE,Step1,Step2,Step3
Exp1,12436.3719,16497.26858,16555.75883,16468.43142,16467.6155
Exp2,34486.07725,46086.70729,7329.11162,124091.4629,6839.54735
Exp3,12286.30338,16325.19455,16546.90724,16245.37305,16183.30336
Exp4,12285.32878,16324.02953,16298.86821,16458.44239,16214.77799
Exp5,12163.65278,15933.7836,15863.58992,15727.93838,16209.82252
Exp6,12315.12203,16358.25896,16480.62687,16123.14202,16471.00799
Exp7,18615.93706,25101.17336,11108.90028,33913.80037,30280.81942
Exp8,9678.56511,12875.93355,10378.05809,13033.41749,15216.32506
Exp9,12448.27653,16510.79431,16641.48362,16665.41632,16225.48301
Exp10,12454.80586,16518.38153,16626.80174,16269.89375,16658.4491
