,TrainMSE,TestMSE,Step1,Step2,Step3
Exp1,1.25537,62.22202,62.22202,81.42244,119.80119
Exp2,1.22362,63.10771,63.10771,82.07262,120.96758
Exp3,1.27713,63.65225,63.65225,83.17831,122.45604
Exp4,1.23831,63.79529,63.79529,83.47533,123.44028
Exp5,1.2666,63.96544,63.96544,81.6819,118.40486
Exp6,1.23232,64.73477,64.73477,83.88275,123.71024
Exp7,1.25414,64.29813,64.29813,83.79272,123.40634
Exp8,1.28758,62.22199,62.22199,81.30611,119.05372
Exp9,1.2703,64.96645,64.96645,83.44338,122.36163
Exp10,1.25555,63.69129,63.69129,83.34283,122.95163
