,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainMSE,0.01092,0.00025,0.01077,0.01108,0.01058,0.01135
TestMSE,0.14513,0.00159,0.14414,0.14611,0.14345,0.14943
Step1,0.14513,0.00159,0.14414,0.14611,0.14345,0.14943
Step2,0.321,0.00167,0.31996,0.32204,0.31887,0.32395
Step3,0.52306,0.00326,0.52104,0.52509,0.51802,0.5288
