,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,1.10275,0.17186,0.9521,1.25339,0.94249,1.42761
TestRMSE,1.23309,0.09834,1.14689,1.31929,1.15342,1.41788
Step1,0.61128,0.14994,0.47985,0.74271,0.50638,0.90771
Step2,0.70031,0.03068,0.67342,0.7272,0.65013,0.74678
Step3,0.80008,0.05032,0.75597,0.84418,0.71845,0.86876
