,fc1_rmse_mean,fc1_r2_mean,test_loss_mean,train_loss_mean,valid_loss_mean,last_epoch,fc1_rmse_std,fc1_rmse_max,fc1_rmse_min,fc1_r2_std,fc1_r2_max,fc1_r2_min,test_loss_std,test_loss_max,test_loss_min,train_loss_std,train_loss_max,train_loss_min,valid_loss_std,valid_loss_max,valid_loss_min
GRU-sg7,0.2348,0.9016,0.0388,1.4663,1.016,1.00E-04,0.0083,0.2448,0.2245,0.007,0.9102,0.8931,0.0011,0.0403,0.0375,0.0429,1.5262,1.4276,0.0867,1.1032,0.8977
RNN-sg7,0.2216,0.9125,0.0403,2.3355,1.2451,1.00E-06,0.0009,0.2229,0.2208,0.0007,0.9131,0.9115,0.0007,0.0412,0.0395,0.0218,2.3641,2.3113,0.0731,1.311,1.1431
LSTM-sg7,0.2549,0.8835,0.0387,1.2021,1.0109,1.00E-05,0.0206,0.2707,0.2257,0.0182,0.9092,0.8694,0.0008,0.0398,0.0378,0.0782,1.3127,1.1446,0.0769,1.0667,0.9021
GRU-anchor,0.2279,0.9074,0.0375,1.7325,1.149,1.00E-05,0.0064,0.2362,0.2205,0.0052,0.9133,0.9006,0.0001,0.0376,0.0373,0.0597,1.8067,1.6605,0.02,1.1686,1.1215
GRU-attn,0.2169,0.9161,0.0367,1.1862,1.0433,1.00E-04,0.0066,0.2247,0.2086,0.0051,0.9225,0.91,0.0003,0.0369,0.0362,0.0086,1.1961,1.1751,0.1063,1.1791,0.9196
RNN-attn,0.2209,0.913,0.0391,1.8637,1.1769,1.00E-06,0.0032,0.2254,0.2184,0.0026,0.915,0.9094,0.0025,0.0424,0.0366,0.334,2.1313,1.3929,0.097,1.2608,1.0409
LSTM-attn,0.342,0.7911,0.0562,4.8354,1.9948,1.00E-04,0.016,0.3589,0.3205,0.0194,0.817,0.7704,0.0014,0.0579,0.0544,0.4697,5.3914,4.2427,0.2529,2.3295,1.7182
LSTM-anchor,0.2633,0.8745,0.0394,1.5657,1.2264,1.00E-07,0.0332,0.2994,0.2193,0.0305,0.9143,0.8402,0.0002,0.0397,0.0392,0.0041,1.5694,1.5599,0.037,1.2785,1.197
